EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 20

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(25, input_dim=self.state_size, activation='relu'))
        model.add(Dense(25, activation='relu'))


/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew3.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:33:43.199452: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 132/2500, score: 135, e: 0.87, reward: -465.88704517774914
episode: 133/2500, score: 99, e: 0.87, reward: -248.86296025354795
episode: 134/2500, score: 81, e: 0.87, reward: -241.17291407986926
episode: 135/2500, score: 156, e: 0.87, reward: -185.10931816632845
episode: 136/2500, score: 126, e: 0.87, reward: -136.97728964583598
episode: 137/2500, score: 90, e: 0.87, reward: -167.17482079687437
episode: 138/2500, score: 98, e: 0.87, reward: -153.05603486942363
episode: 139/2500, score: 85, e: 0.87, reward: -74.18193469977616
episode: 140/2500, score: 104, e: 0.87, reward: -453.81670946717014
episode: 141/2500, score: 71, e: 0.87, reward: -219.6778468403354
episode: 142/2500, score: 152, e: 0.86, reward: -506.423271264486
episode: 143/2500, score: 114, e: 0.86, reward: -237.87874003442633
episode: 144/2500, score: 92, e: 0.86, reward: -271.00712518384046
episode: 145/2500, score: 104, e: 0.86, reward: -284.1578280086425
episode: 146/2500, score: 66, e: 0.86, reward: -133.02670478834204
episode: 147/2500, score: 77, e: 0.86, reward: -240.57707659640772
episode: 148/2500, score: 72, e: 0.86, reward: -129.67690128361596
episode: 149/2500, score: 142, e: 0.86, reward: -286.7172818435731
episode: 150/2500, score: 95, e: 0.86, reward: -142.76966454331603
episode: 151/2500, score: 93, e: 0.86, reward: -156.02137654194198
episode: 152/2500, score: 87, e: 0.86, reward: -303.8605143329222
episode: 153/2500, score: 79, e: 0.86, reward: -114.05031647633973
episode: 154/2500, score: 98, e: 0.86, reward: -585.4839647292778
episode: 155/2500, score: 87, e: 0.86, reward: -215.13850594904986
episode: 156/2500, score: 103, e: 0.86, reward: -129.9173509645667
episode: 157/2500, score: 142, e: 0.86, reward: -142.29046120930013
episode: 158/2500, score: 101, e: 0.86, reward: -207.5255150630186
episode: 159/2500, score: 105, e: 0.85, reward: -276.0783833359745
episode: 160/2500, score: 130, e: 0.85, reward: -246.52889716955502
episode: 161/2500, score: 93, e: 0.85, reward: -409.42325223102114
episode: 162/2500, score: 63, e: 0.85, reward: -142.2602179268939
episode: 163/2500, score: 156, e: 0.85, reward: -187.1458940771932
episode: 164/2500, score: 100, e: 0.85, reward: -135.64153747392996
episode: 165/2500, score: 69, e: 0.85, reward: -117.7205499124143
episode: 166/2500, score: 96, e: 0.85, reward: -119.84377956926113
